Province,K,Baseline_Average_Distance_km,Baseline_Average_Rating,TDMC_Average_Distance_km,TDMC_Average_Rating
กำแพงเพชร,1,0.0,4.6,0.0,4.7
กำแพงเพชร,2,21.753482264648504,4.65,8.675711711931305,4.449999999999999
กำแพงเพชร,3,21.524326743873008,4.6000000000000005,10.478652921087408,4.366666666666666
กำแพงเพชร,4,22.62413249572979,3.45,10.419152609577404,4.35
กำแพงเพชร,5,24.93598044606271,3.7600000000000002,13.980239012437597,4.4
กำแพงเพชร,6,24.26259767953611,3.9500000000000006,12.131906952355223,4.533333333333333
กำแพงเพชร,7,26.274410168686384,4.000000000000001,11.084542333594708,4.571428571428571
กำแพงเพชร,8,25.696805608100757,4.1000000000000005,10.085984740170087,4.575
กำแพงเพชร,9,26.917684602474974,4.122222222222223,9.837974292681109,4.622222222222223
กำแพงเพชร,10,25.32407133054215,4.130000000000001,9.075436400412539,4.61
นครสวรรค์,1,0.0,4.6,0.0,4.5
นครสวรรค์,2,45.347434625817634,4.6,32.9739959805695,4.55
นครสวรรค์,3,47.81193310204469,4.566666666666666,11.60288240897161,4.466666666666667
นครสวรรค์,4,63.04198464822734,4.55,25.62568964103404,4.5
นครสวรรค์,5,53.03964225049914,4.54,13.325630601634254,4.4
นครสวรรค์,6,55.41145811108573,4.466666666666666,7.545305959601385,4.433333333333334
นครสวรรค์,7,54.55102527199641,4.442857142857142,4.425941989658153,4.471428571428572
นครสวรรค์,8,50.927921521219766,4.449999999999999,4.339864657757169,4.5
นครสวรรค์,9,45.866387142471865,4.444444444444444,4.000309077623,4.511111111111111
นครสวรรค์,10,47.690125244972094,4.379999999999999,3.856648643177125,4.51
เชียงใหม่,1,0.0,4.7,0.0,4.7
เชียงใหม่,2,49.78690067181496,4.800000000000001,7.825180351833296,4.6
เชียงใหม่,3,41.19118893787461,4.733333333333333,6.422272693539625,4.6000000000000005
เชียงใหม่,4,40.0173068189513,4.7250000000000005,16.59698188011074,4.575
เชียงใหม่,5,34.78706381388423,4.720000000000001,17.788284167646726,4.62
เชียงใหม่,6,38.202333350399606,4.683333333333334,16.684252043778155,4.633333333333334
เชียงใหม่,7,41.10325521522259,4.6571428571428575,20.906452526339642,4.6
เชียงใหม่,8,53.52024577469095,4.65,19.034060026304637,4.5125
เชียงใหม่,9,65.63326018318713,4.633333333333334,21.163897289455058,4.511111111111111
เชียงใหม่,10,60.16527835244163,4.65,22.379377486789856,4.49
