Metric,K,Baseline,TDMC
Precision,1,1.0,1.0
Precision,2,1.0,1.0
Precision,3,1.0,1.0
Precision,4,0.9166666666666666,1.0
Precision,5,0.9333333333333332,1.0
Precision,6,0.9444444444444445,1.0
Precision,7,0.9523809523809524,1.0
Precision,8,0.9583333333333334,0.9583333333333334
Precision,9,0.9629629629629629,0.9629629629629629
Precision,10,0.9333333333333332,0.9666666666666667
Recall,1,0.01782572383073497,0.01782572383073497
Recall,2,0.03565144766146994,0.03565144766146994
Recall,3,0.0534771714922049,0.0534771714922049
Recall,4,0.06088622865627321,0.07130289532293987
Recall,5,0.07871195248700817,0.08912861915367483
Recall,6,0.09653767631774313,0.1069543429844098
Recall,7,0.11436340014847811,0.12478006681514477
Recall,8,0.1321891239792131,0.14186340014847812
Recall,9,0.15001484780994803,0.15968912397921306
Recall,10,0.16117390497401632,0.177514847809948
F1,1,0.03475539710833828,0.03475539710833828
F1,2,0.0678131051158311,0.0678131051158311
F1,3,0.09930348496052287,0.09930348496052287
F1,4,0.11082495298830837,0.1293434715068269
F1,5,0.14002027658415325,0.15803829460217125
F1,6,0.16793907846539424,0.18548293811451708
F1,7,0.19466936572199725,0.21176338281601437
F1,8,0.2202910032948515,0.23549888075655825
F1,9,0.24487665274846812,0.25968121127440275
F1,10,0.25738147110696136,0.28291316526610644
Diversity,1,0.0,0.0
Diversity,2,0.0,0.23046443335860536
Diversity,3,0.0,0.24338808824523248
Diversity,4,0.0070954820406103165,0.20744244269405834
Diversity,5,0.005676385632488253,0.21811080452186457
Diversity,6,0.01724952204606467,0.22880555158390767
Diversity,7,0.020587613185457914,0.1998146232013661
Diversity,8,0.02754751613853172,0.18968098739916198
Diversity,9,0.036734506638454865,0.18280288349109142
Diversity,10,0.04723058747129749,0.19688199581004992
